['RCccsD-o33FTLi_VMk-hNKCkojWvXWV5W8gKCgMtnk_yb5OF7JoyW-78', 'juJ2Eckd8-xOoM8V1SXa0dSiXNFxJNiFiplJs_FPJ1hk7D8', 'zhuninghaoyun', 'I', 1603]
['aN5NnibJzDHpRarlUyD07CAmc_3faKJa05a37goYp4-Tlrs', 'FVOHTQUTxwul4GlI0i1p5UDw38qZbh0CgyTj-mgKBme36Ks', 'HLE Haru', 'I', 771]
['hb8jf-El3oPcnHYFrIvUGM8_PwKPIG4ru2rtKc80Jt27heyfmw8k9N1F', 'I-IpBCDkVmZf_Ul7ifggb95Itni5sESsvQqTMqUJHct5S4A', 'WE 77', 'I', 770]
['ihJH-6zBjWc6MvQpEHI-EHiHyI9yapNQ3mM2BrYpZpPGX3K2aRv0gD2h', 'jmFxK6HnpL6JuDcIAt3nxzUn7c1GHNhhB9OntRSwVh3ym6A', '잘모르겠어욘', 'I', 770]
['3RaqRlM2E4TmsS4S5fuTo6Ec-510EElzgq3snzUesIX4AoZTKGxwUhJD', '73-y04FqmPHcsLHNFiavgyjdg1XkaLess0IwIMSORftPxeI', 'sup gapppppp', 'I', 770]
['bdYXXQKct--zjbMIo0Ld4sWLBkPDOQ5ca0n7wc6rSqAmpn5oJGln5CZM', 'wqDvqneoeOfAtGpxcI1c2_y8UfqXGrLne4XjtxtvxpxvrYw', '20200927', 'I', 770]
['DCT1i2oL8FS8tqytksW6IOwcjb_yPRuLLPioDALK0pOVdNM', 'gtVj6Zf0ZTwre8n22Iw-mYwabbOGr9OYur7vfWDmvQjSKOE', '칼과 창 방패', 'I', 768]
['X3nqNd1gKVHZZePkqSWwFXGvhCJzMVcZNmjM7GHS6ARrDbU', 'owxyKLweh5gspjPS7lbAb4S6VnRGSXdTssXBWJdaygOL4rI', 'hearer', 'I', 768]
['O6YJzl7NU8Z3E-DKO-HVdBIV4HfObLkDDwLDmXxLdmaK7Ro', 'GK2tNW1e3xXify-IxMoGxtfdqCgQENwmGBZFsnC07yciC_I', 'Yun WAY', 'I', 767]
['GUDwwA3YJAkZYaMBVTT0uZJ6tJqcxA8CRsunCl2itiCaqqE', 'LVxU3zeaAXDUFe9eUY33JaMRlff1-1apZC4FpJCw8ADZE_4', 'Pz ZZang', 'I', 766]
['xnNJp0E1hiW4FF4iL9eNGMjn1-HPknsIug_UbEXoe1g-mFA', '4TaQvCQsS7Leq1wajP8iLHrNyFXRwnAs0m33E2PdmXyJmg0', '튀자튀자아', 'I', 765]
['gX7_ChT-u7PVdpk104WbVo_dFjDzjJUlOqVoFDedyV5zLYE', 'aYiBy_3_y0MUiLJxkhZ2arT6E9QRm4s6-HUEEqXLrSkSlCc', '뭉재뭉재', 'I', 764]
['8ZUAExX8sMPJvQ_HQSaxwUdy3lQ4Xn9ozhwKd1fs44HguFs', '8jQbwi6hZD9q-p3F_OtfGC_3whH97YXj0pLliJB9sFymVsk', '42151262516', 'I', 761]
['WFAicgY7T7cFK8iYyfZKJubkzOhWIp2NvevwOrUUYmlaZlu444E0VaZj', 'iegpq4rfvMGZ2Yoi-qGaxmPMsERzcCwbX6BUqOa10CdQae4', 'Jianguoqiang', 'I', 761]
['1ZCAbeP67noo3mIvFzMLHsgIW5MstIHYFcWcNBZpuJXoYZs', '3tXPnFPDNyXHbRFWpD2uSa0JiB8T1Bu4T_nqFFSns_3q9-s', 'DRX Dracxar', 'I', 758]
['jtPOa9ZPogFBBCF3ZwVABZ1mg_tdnItLuvISfRKQv0OzUpQ', '5O2LVBK895WN3-AwikLW3008hqmRRQhNswTwL_OgqgIRgZk', 'T1 Closer', 'I', 756]
['7fM85rn-vN7BdtbY9XOBL4YeBmSIk1VhpP1coj4J4R3M', 'g4buKtiojP4jfblWdujLF_umwSQdvb7T2M4rKZCCXTgviQ', '이보검', 'I', 755]
['bD1bIWaNBegFSbZImwiQkqSfuoefagaAjVP0HBAUk98Stt2NsceUIiXN', 'TBEP2VZQD0-GwqUbeCpgvTNCzZGhACxHkTPvO9vpn9IQS9U', 'KonoDioda', 'I', 754]
['uCiQVgGz1TD2MaShse84phZJOLgtd7o3CrYry0UWBFg1', 'm1zK2CysSb2GRuJKxAOTJoZA76_30KRSbPTTsIFu0xMb_g', '피즈 조이', 'I', 754]
['1etjtkwdzJRgqohTye2E73bcEx4KwjpdmWh6nt6U6aiX_cA', '7vy6zLFrE5HewmhbqIL-T5ZxjPx03mrlZ7N7jLpyOV47lhU', '팀운잔나좋아', 'I', 754]
['CBGZsf5l1onb9UL6cN3mLS4P-HG3wbw6SEzyrMpN-ACUolfMs2aK5h4A', 'fAddAp_tyit8AqCLelyIJzhoKUcBlBne_XWdFfC6F6eN_vI', '기매강', 'I', 753]
['okholfOLgb4VNw7JVXQaO3VzwD2ceIZzuarfq8eZQJuQSpniqrocmKZH', '1XLltGfi0ycpMFcEnqWaWzvUOAJX23TyBW7eimxLaNQMY8U', 'zhen de xing fu', 'I', 753]
['7gEQ-p-WVy2zCt0jFdllvD8Vbg5O9iAd4ecLPZ8fmK24', 'QV4SAfqpae6-HE4Xi643UE8jgff8gw0CtbUaikKFxEho_HM', '보은이 귀여워', 'I', 753]
['-t3rxN1SFcJh4ZYUcDkWHbz5eruEdOIPGO2PYLKhNVV8r_Cog_ik4Mbi', 'H3ahVO0JnfVqwTBv_3EDifTnu1BoIonjl0YaJwkKzkD2boY', 'HLE YeongJae', 'I', 752]
['SdWLza5n1BmTBA0iWlLlxsvuuXBW1vgmwjQ6129sBNCU', 'WWqjEokt2JyQas9UUY8dcFoJAa_Fre-tnzgPDMHCFFgXYg', '대못 사부', 'I', 750]
['BmlkFPGT8sueSXVxFGQ8ChJ2HTMHYqhd6_f0WXjM2sRQVH-11htl7pDs', 'Hh6OId4v1mdUToblU5pzITxAS5s8m6xaJdQcwULWG7e_ZMI', 'FFFFKKKK', 'I', 750]
['uIJi5AzFwl_HUFzrlmBCDnzAUKDV6qN7SxlIBF_4nPsrn5InJvgSmvvv', 'VMp7lsU-cKYMR-L1pgyE-12TTrKdjLwdxDAj7r-IjGlHUEI', '모두건강하게', 'I', 749]
['4zlozPxD6SvhuZ3Kt9TepOCJcfuQXH9HFYq8-FOw9OmZRqE', 'qf6qGKH6_6wvQ4Jf80dPUDuZp_i7AlJM-audsJCmaTpv900', 'cherish0120', 'I', 748]
['H-rG1XibATyeSrxD77sKvmqQ0_XaN7N-iYR-9X5Gl957u6U', 'GNUErehwrBUty2axE_U3xjNySsZ51LpAAOKkYT4DSp3A5pU', '룰보러니', 'I', 748]
['9TqhZt0Nk50SWYwauq8aatpHI3yDS1PirZo6OWpkeBBBhIA', 'qvE8lNOVVhGbxgo-O2R6oAPxBb3tlCYLnmdInV0l_w6-lL0', 'Twitch TV donko', 'I', 748]
['z-rYNafyAL_d9ktyssRuiIlkGyOg1okTwkRvbLP_pahhZAj23Hi0Ya5Q', 'Xr_A2yqoIx0oPPjTJSOzBDPv9atOvILYJddmYJeqdVVVJSA', 'hhhhzzzz', 'I', 747]
['UzV5OSwEnbgcCMRSU8f8P7AmyKTvK9_H7sZrvz1_FvXOfMXaNJFp8eXe', 'G65PL7tMJSRm-CE2SKLaMjN7CHuXZFJyCFrepgUqHcWTGEk', 'AF Na Kyung', 'I', 745]
['cUWHNuXW16M8zt6MG5HZwde-4kfTKS6md_EKpZXUpGHaUWM', 'IgMYB7PvEtCggCWRxWVtu-qFtzkWXZ7FUQJf-GJkSTyBPik', '통역왕 김수', 'I', 744]
['BrKMOh2COW0TQv_CfmcLiAtFqKPJ7Dh5mX3XLZz9vapL', 'W4LCdU3L9TkI-FEzBSm7MSetLyjYAiNTGmHl5wk-UYvBxA', '어니우기 Youtube', 'I', 744]
['2aP7eCojmc-pwA2XoKhjlMe2reCkN3rfjuYjvibi3OlN4cQ', 'YtMGc25mLQG7qNNpEZmdX4QGBcgIizI-sqra1KpuV4dbZpE', 'DRX Keria', 'I', 743]
['BZI0YLrY4gsBGAG8SJm_bX3ljlf2214ywMpggTpSRgBoEu0', 'GtnRKHjsJaISmRD83xWGiFv5TWkS2rWsn0e9LfuCsUiqsSM', 'SANDBOX Serenity', 'I', 743]
['Wt88vjV0zUrxwFz-0foxkstJPPWl2p4nsPI1-d9BQlqV', 'qpllfFb8hTabQMY6dZgnuNPkXOan0UjLPVfFKykan6iz0g', 'mingkey00', 'I', 741]
['hJ25Q1MlAMmzjnnBy03vaNeAYtnuiONn5NO8dOSGfdGubt0', 'Zir4z52tItXLfWPMTAWwXmFCPn3OBsctrHAITbu35ldXZEA', 'M1nit', 'I', 741]
['yKFG5pPlllDh6fbCON1rmzDPxv2k3TfnIVxje8mdBaWP1cg', 'WoLHjAKRf6ckkIR4mcWCsH0IwVrYvUOfMU0h-GIFrZx-jzY', '맨질맨질보노보노', 'I', 740]
['_Mb0I8DPfWNoPCMz3Wie37seGMk55i679bQel28P8jDVNy_ixISoF7BS', 'ODswzH-w3RGh0uJVzaHyTeUY0M8gCepfV7JYOtw2qGiEMvY', 'lianxisheng', 'I', 738]
['N9tHbqBI_qEHoByRQxECGnBkFdBbXeTXLmV2uMTlQJcA76-XyxeDXOcH', 'CZUm5kB1GhnW-NgR_U4MN6afCZdTSD2QoeyBeRZXjlLLOu8', 'supportunhappy', 'I', 738]
['803DPZsvv8IsQZZNKC9TGh-UZSZfar6jhpxGqDzQkR1vMPy9FW9wTNTr', 'I6Iaquo8NJiSW9su7_maUVbaS_6oqfafLGAzscxty0NvMnE', 'dandy is my son', 'I', 737]
['G_Psnp5YBjG2NSeAlOVYLFAgtG8n7JpEK3oDtuh4SNjG9Qw', 'YuwuOXnbNKYmnA3drJdgqIZ0dTp891RkwlQWB4MdUwjVgQI', '1145', 'I', 737]
['av3b4BiJiptEqpUyKp0pp7EtW-zRZn_FoRz-xrSjihUA8dY', '3DR_k7eTLGV-lTisGM-ou_sX1CzEaLWKMcCoTV7xuroacOE', '쭌 베 fan', 'I', 736]
['jZLi9M09NHVzUs7eS3uhVGbJKUnqTvKJNNZ9F8RJquGYSwE', 'nqfn8EnTWGMZCnhtBgkm1GNwMtaIAq2uJSYNWa2uxGIfC2o', '권희원', 'I', 736]
['u9rbpDsnlGeYd1xawZBZDbD6tKyptrGO8DNdf12EKpK3ZW2ZbBLdgztZ', 'PZb48K8DUKKCfd__ddOTC8fizwrwOC9W_Q6nLzoMul35OM8', 'zhen de lan ', 'I', 735]
['MZBS0VWkLUsYlsILTIFVW4cG5DW5RDpa80gzhyk_LHEJn6s8wdK73A-J', '4ui6VtuivJxCC2oBZG6LIpjFBtDLneOzj6MJxJYknFzWUOc', 'SANDBOX Muru', 'I', 735]
['worWdmRQELlPhJ2r-NYztWFhVDlx1_eVvDWlQB3Ysw0ZjUXmWd2sY2Oi', '-x1-cif18sVcEe5CmjTCVzcpg8LrV9-s391h9IZXz5qsdgE', 'bai wu yi yong', 'I', 734]
['rW2-Bsw7KZEC2uQPqBjDO9geS69fdNH9Ao1erSOqbfGB0Bo', 'uILjzRTJrhPIseLqElA2dmbWqlbus35KMvOgQlJR9TYfBWY', '도톰한 재원에몽', 'I', 734]
['gKz6q-3BnjBvDFd5_CEjVZChbxJjOIkOzh-Wk62Tw3drzHM', 'XauVvVZiL4u2llCOA77GSGCmFzJhtTVv0QroBM95abfG_ak', 'Blank', 'I', 732]
['3kyF-vONSpCCtr1Og2obghWrkx-tn9iRCJGriFdSBj9wGKs', 'NdOH9-xBEXkNexCguiCIB-vNNbYaJbziAKbKNaEzu7s4uQQ', '안본척해티키타카', 'I', 731]
['NBCJ2I_JINqaTD2XtwvpfG5uiYFgN5msdUHrF0eSZfFc', 'riJVMqCOGta0eqnrLkzBdJUUjQ-tg0ejwpfRxknoyRxMYw', 'CCrazy', 'I', 724]
['IuX0J0MGa-cUPKWGxcSKktNx0wcfR3f_kUlNI9j0HV0Fw0V53_HiMWWO', 'sWsEa2luzmGgYlbs9nZa4MO2VZl1w5mYyYvUp4pRTeMvY5Q', 'No soul', 'I', 720]
['hYxVxbpQHeCR9Ra0am3_GygKhGf1WNQn5rNMfSAgKQ_iOoY', 'ol1lpD15Bryuw5AFtbgyIOjRmF6V5HhmYjOiCEff4jsfVD4', 'Koei', 'I', 719]
['Ar69YpgNn1UjRpPkt8ZBza1YzCuQvr6v6h07Mg2mvNa-JU0', 'hjrFC4FrK3ZImfJQFyQzoTO5vMuEMBQOgw_Wca805qBMxtA', 'BRlON Hena', 'I', 719]
['lo-ORas-wc9J9ox2OhtxdUY0HqrnfD-DFVjhG-ST8V1dpr0d9mL2JsIj', '4fPA0ekATlSEF3yzZ6BMywkP31EB35sCFygaza-zijJGzY8', '20살 미드', 'I', 718]
['QRdTu6DOQRYkeQXjkybHDGLwFFDu9gRqU3ifXE9tXyygVKXEsmGv-xtT', 'wEiUrmGgEkJrHHOEPdgIl6O01EZFahboaRxOrDNP9Xi_eKE', '손시우분신', 'I', 714]
['k-NtmwgSmHF6WzHSPbDpfY6p7JjK0lN1pJ4EFaDZCSZIuGI', 'x_64PlB-G8-_D9AFPXXOUVU8SdaH40Yb3X--Rmn2aaprl3Y', '아라가키 유이', 'I', 714]
['WHZZvOQh9Tn0Kr_VFb0tNjf3iDatFCcjBTSmX1k_VYL7srH1Pb9eTTKx', 'bv8S5HPevwIoMVOEYF2T4i-vkgoCk_zsIcCL2qXVS1S_Jo4', 'Bvoylol', 'I', 706]
['Xaqrl_MFBOXmO3kpXB3I3XRg3A52GWGB-xlT2s0XARlotzM', 'OpQQc910lrtBDF5G-MdcgO-W-W5xlFviWKHgpQwtmG8R3E8', 'HLE Mireu', 'I', 692]
